"ID","Title","Published At","Duration","ViewCount","LikeCount"
"VzQKKBcVbGo","The Unique Power Of Gardening in Islamic Culture","2021-09-22T13:00:13Z","PT4M23S",140718,6207
"dm2rdO7hAfI","Acceptance and Mental Health","2021-09-15T13:00:17Z","PT6M29S",361384,14896
"-Ybpr7SJgD0","How You Could Ruin Someone's Day or Life","2021-09-08T13:00:01Z","PT3M48S",572354,22560
"pmVEwOogUKo","How To Be More Loving","2021-09-01T13:00:23Z","PT6M55S",831020,27315
"hK6mdoxXrIc","How Perfectionism Makes Us Ill","2021-08-25T13:00:31Z","PT5M7S",296398,12301
"9s_O0nVeSUw","A Self-hatred Questionnaire","2021-08-11T13:00:04Z","PT4M42S",270073,9617
"YxKxi8iM-lw","Learning to Forgive Ourselves","2021-08-04T13:00:15Z","PT7M13S",616520,26105
"4fNUWdy5Mj0","Can Pills or Therapy Save You?","2021-07-28T13:00:02Z","PT8M6S",112088,4144
"JPVkqVHCTVs","Two Reasons People End up Bad Parents","2021-07-21T13:00:08Z","PT5M18S",406138,17399
"MhriuHqRfJE","How to Increase Resilience","2021-07-14T13:00:09Z","PT2M32S",172861,7859
"Fs4uHfZh3S4","ART/ARCHITECTURE - Rembrandt","2021-06-30T13:00:14Z","PT4M",130860,5281
"hApfiEbFSf0","Why We Call Our Partners 'baby'","2021-06-23T13:00:14Z","PT3M58S",929264,40792
"Z2RpqgH0jow","Weaponise Blushing","2021-06-16T13:00:22Z","PT3M42S",138643,5739
"mrKOBmeG5zY","How Dreading the Future May Be a Symptom of Your Past","2021-06-09T13:00:16Z","PT3M18S",302244,13868
"7JFFRPaEg04","Hysteria When Your Partner Is Too Calm","2021-05-26T13:00:02Z","PT5M25S",385403,13796
"QSCXyYuT2rE","The Body Keeps the Score","2021-05-12T13:00:09Z","PT6M3S",2544848,90432
"1la648Kt2rA","How to Keep a Relationship Going","2021-05-05T13:00:01Z","PT5M52S",1224901,50110
"2QH50U91oJ0","How to Find Satisfying Work","2021-04-28T13:00:01Z","PT6M39S",240230,7942
"41wMbLb9M2Q","How to Be Kinder to Ourselves","2021-04-21T13:00:02Z","PT4M50S",687674,31783
"oxx564hMBUI","What Is Mental Health?","2021-04-07T13:00:31Z","PT5M46S",437158,12588
"ujhn1JdOSB4","How Unloving Parents Generate Self-Hating Children","2021-03-24T14:00:11Z","PT5M33S",1105451,44550
"Dkx7SpG_uug","The Secret Power of Gratitude","2021-03-17T14:00:09Z","PT4M49S",163796,7076
"f8RPUJhULLE","To Have or Not to Have Children","2021-03-10T13:58:56Z","PT6M22S",589787,22809
"aJJ7YpW--dQ","What Is Emotional Neglect? And How to Cope","2021-03-03T14:00:01Z","PT5M42S",569186,22226
"oRoBlYT31lw","When We Fall Mentally Ill...","2021-02-24T14:00:30Z","PT3M59S",189493,8849
"WMeKvO71wD0","What Love Really Is and Why It Matters","2021-02-17T14:00:09Z","PT4M50S",429014,16385
"236eHGCSPvI","Sleep and Mental Health","2021-02-10T14:00:01Z","PT5M55S",265217,11339
"Z7pH0pdM7Qo","Mental Illness and Reasons to Live","2021-02-03T14:00:09Z","PT3M51S",270794,11432
"2aNhD6owCn0","Why You Are Not a Loser","2021-01-27T14:00:01Z","PT4M24S",275122,12617
"dRk7B0AGyQQ","What Everyone Really Wants","2021-01-20T14:00:23Z","PT5M33S",587722,26928
"UOn9HVQdOGc","The Three Requirements of a Good Relationship","2021-01-13T14:00:08Z","PT5M1S",2265514,86873
"hP68dxc7vyE","Why We Love to Suffer","2021-01-06T14:00:21Z","PT5M29S",219177,8113
"HNdMHuwvF_M","The Secrets of EMDR Therapy and How It Can Help You","2020-12-30T14:00:04Z","PT5M16S",438846,12310
"rgQvqi6aYD8","The Secret of Successful Relationships:  Rupture and Repair","2020-12-09T14:00:10Z","PT8M33S",1909765,79355
"TX6W5OfN7iY","What Is 'Trauma' - and How to Cope With It","2020-12-02T14:00:31Z","PT5M32S",373456,14910
"ApccemGnh78","How to Get Out of a Despairing Mood","2020-11-18T14:00:06Z","PT4M46S",690407,33771
"X39SWuXTvS0","The Need to Be Honest at the Start of Relationships","2020-10-28T14:00:08Z","PT4M58S",458887,18889
"ku9gabtzmX8","On Feeling Stuck","2020-10-07T13:00:11Z","PT6M37S",969600,44838
"BSSqhe7mT2Y","The Dangers of Having Too Little To Do","2020-08-26T13:00:07Z","PT5M3S",354302,13586
"AOYidTTOb2U","Why We Shouldn't Worry About Dying Young","2020-08-19T13:00:04Z","PT8M4S",249699,12944
"IkIR93Cpy3U","How to Learn to Love Oneself More","2020-08-12T13:00:05Z","PT7M14S",1356994,53697
"qgNxLiuwFDY","5 Reasons the Modern World Is so Ugly","2020-07-29T13:00:12Z","PT10M11S",535759,22563
"kqwPR0da0FI","HISTORY OF IDEAS - Loneliness","2020-07-22T13:00:15Z","PT8M2S",420026,17909
"Yo42Ebmxg_A","How to Tell If You Are an Introvert","2020-07-15T13:00:32Z","PT4M59S",339423,16369
"6fZXxu8AcTA","A Test to Judge How Good Your Parents Were","2020-07-08T13:00:02Z","PT7M37S",6428472,262410
"b9UUnorP-8U","How Romantic Attachment Works","2020-07-01T13:00:10Z","PT5M59S",659769,26317
"vbB6_qjRF9Q","Learning to Be Angry","2020-06-17T13:01:02Z","PT5M16S",427991,17522
"hnQwaVnv-FA","Why We Need to Feel Heard","2020-06-11T13:00:13Z","PT6M16S",275162,15090
"FikUMyk4olw","The Ancient Origin of Sexual and Gender Identity - Margaret Mead","2020-06-09T13:00:07Z","PT5M59S",156276,5884
